 written on 25Nov2024 at 14:44:44 
   2.5102669204009289        0.0000000000000000        0.0000000000000000     
  -1.2551334602004645        2.1739539018422445        0.0000000000000000     
   0.0000000000000000        0.0000000000000000        14.999999580211844     
           6
          83
    1    1    2    1    1    1    1    1    1    2    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1
    1    1    1    1    1    2    1    1

   -5   -3    0
    6    3   -0.12995691E-01  0.58866361E-02
    1    4    0.11219506E-01 -0.32569715E-02
    2    4   -0.30190663E-04 -0.41467749E-04
    3    4   -0.24124444E-03  0.52138538E-03
    4    4   -0.40397131E-02  0.28207842E-04
    5    4   -0.68203527E-04 -0.25575845E-04
    6    4    0.89292692E-04 -0.18165856E-04
    1    5   -0.15878134E-03 -0.10764078E-03
    2    5    0.60096764E-03 -0.90303701E-03
    3    5   -0.13046717E-01  0.39082175E-02
    4    5    0.49169538E-04  0.38976507E-04
    5    5   -0.45181610E-03 -0.24680825E-03
    6    5    0.23221451E-02  0.14598011E-02
    1    6    0.37937079E-04  0.26298255E-04
    2    6    0.15666605E-02  0.56149918E-03
    3    6    0.21274463E-01  0.40814088E-02
    4    6    0.47857428E-04 -0.20498918E-04
    5    6   -0.17092905E-02 -0.84881953E-03
    6    6    0.13178433E-02 -0.24108012E-03

   -3   -4    0
    1    1    0.10907686E-01  0.47826131E-04
    2    1   -0.84446949E-04 -0.64558662E-04
    3    1   -0.41440822E-03 -0.10635588E-03
    4    1   -0.83536012E-02 -0.39724822E-02
    5    1    0.41224006E-03 -0.15744709E-04
    6    1   -0.92365067E-05 -0.43007124E-04
    1    2   -0.41587918E-04  0.31020759E-04
    2    2    0.22442719E-02 -0.54199382E-03
    3    2   -0.44674828E-01 -0.15986083E-02
    4    2    0.11921444E-03  0.83330349E-05
    5    2    0.26753625E-02 -0.14468465E-02
    6    2    0.91316135E-03 -0.66149073E-03
    1    3    0.83009305E-04 -0.69869731E-04
    2    3    0.28842678E-01  0.15598541E-02
